,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
315,Venta Torre de Departamentos en Puerto Cancún,https://www.inmuebles24.com/propiedades/venta-torre-de-departamentos-en-puerto-cancun-54754685.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,311,000",8311000.0,154,154,3,,1,54754685
316,"Vive en Puerto Cancún, Vive con Estilo Frente Al Mar Caribe.",https://www.inmuebles24.com/propiedades/vive-en-puerto-cancun-vive-con-estilo-frente-al-mar-56718866.html,"Juarez,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 468,510",8686175.4,208,208,4,,,56718866
317,Venta Departamento Puerto Cancún,https://www.inmuebles24.com/propiedades/venta-departamento-puerto-cancun-56382507.html,"Venta Departamento Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 8,727,000",8727000.0,143,121,2,,,56382507
318,Isla Bonita,https://www.inmuebles24.com/propiedades/isla-bonita-56902292.html,"Isla Bonita,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 395,000",7323300.0,145,145,2,,2,56902292
319,"Penthouse de Lujo en Venta, Puerto Cancun",https://www.inmuebles24.com/propiedades/penthouse-de-lujo-en-venta-puerto-cancun-52580328.html,"Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 2,465,000",45701100.0,308,308,3,,2,52580328
320,Venta de Departamento en Torre Laguna,https://www.inmuebles24.com/propiedades/venta-de-departamento-en-torre-laguna-56327803.html,"Venta de Departamento en Torre Laguna,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 195,010",3615485.4,73,73,1,,1,56327803
321,Cancun Zona Hotelera Bay View Grand Noveno Piso,https://www.inmuebles24.com/propiedades/cancun-zona-hotelera-bay-view-grand-noveno-piso-56381312.html,"Cancun Zona Hotelera Bay View Grand Noveno Piso,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 750,000",13905000.0,250,250,3,,,56381312
322,"Departamentos en Venta Brezza Towers Cancun, Quintana Roo",https://www.inmuebles24.com/propiedades/departamentos-en-venta-brezza-towers-cancun-quintana-53461599.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 3,950,000",3950000.0,110,110,2,,,53461599
323,Portofino Bay View - Departamento en Venta / Apartment For Sale,https://www.inmuebles24.com/propiedades/portofino-bay-view-departamento-en-venta-apartment-55873469.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 650,000",12051000.0,180,180,2,,,55873469
324,De La Mar - Departamentos en Venta / Apartments For Sale,https://www.inmuebles24.com/propiedades/de-la-mar-departamentos-en-venta-apartments-for-56616670.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 600,000",11124000.0,220,220,2,,2,56616670
